customer_id,first_name,last_name,email,registration_date,country,last_updated
1,FirstName1,LastName1,customer1_NEW@example.com,2023-11-09,Germany,2025-07-10 12:13:34
2,FirstName2,LastName2,customer2_NEW@example.com,2024-12-12,Poland,2025-07-10 12:13:34
3,FirstName3,LastName3,customer3_NEW@example.com,2024-01-14,USA,2025-07-10 12:13:34
4,FirstName4,LastName4,customer4_NEW@example.com,2023-07-29,Poland,2025-07-10 12:13:34
5,FirstName5,LastName5,customer5_NEW@example.com,2025-06-24,Poland,2025-07-10 12:13:34
6,FirstName6,LastName6,customer6_NEW@example.com,2023-08-10,Poland,2025-07-10 12:13:34
7,FirstName7,LastName7,customer7_NEW@example.com,2024-11-08,Germany,2025-07-10 12:13:34
8,FirstName8,LastName8,customer8_NEW@example.com,2024-01-04,Poland,2025-07-10 12:13:34
9,FirstName9,LastName9,customer9_NEW@example.com,2023-11-08,USA,2025-07-10 12:13:34
10,FirstName10,LastName10,customer10_NEW@example.com,2024-06-21,Germany,2025-07-10 12:13:34
11,FirstName11,LastName11,customer11_NEW@example.com,2024-11-01,Poland,2025-07-10 12:13:34
12,FirstName12,LastName12,customer12_NEW@example.com,2024-06-08,Poland,2025-07-10 12:13:34
13,FirstName13,LastName13,customer13_NEW@example.com,2023-08-01,USA,2025-07-10 12:13:34
14,FirstName14,LastName14,customer14_NEW@example.com,2025-06-22,Germany,2025-07-10 12:13:34
15,FirstName15,LastName15,customer15_NEW@example.com,2025-06-15,Poland,2025-07-10 12:13:34
16,FirstName16,LastName16,customer16_NEW@example.com,2024-06-23,Germany,2025-07-10 12:13:34
17,FirstName17,LastName17,customer17_NEW@example.com,2023-12-18,Germany,2025-07-10 12:13:34
18,FirstName18,LastName18,customer18_NEW@example.com,2025-05-25,USA,2025-07-10 12:13:34
19,FirstName19,LastName19,customer19_NEW@example.com,2024-12-02,Germany,2025-07-10 12:13:34
20,FirstName20,LastName20,customer20_NEW@example.com,2024-09-16,USA,2025-07-10 12:13:34
21,FirstName21,LastName21,customer21_NEW@example.com,2025-03-09,USA,2025-07-10 12:13:34
22,FirstName22,LastName22,customer22_NEW@example.com,2024-06-11,Germany,2025-07-10 12:13:34
23,FirstName23,LastName23,customer23_NEW@example.com,2025-05-14,Germany,2025-07-10 12:13:34
24,FirstName24,LastName24,customer24_NEW@example.com,2024-12-05,Poland,2025-07-10 12:13:34
25,FirstName25,LastName25,customer25_NEW@example.com,2025-01-22,Poland,2025-07-10 12:13:34
26,FirstName26,LastName26,customer26_NEW@example.com,2023-11-05,USA,2025-07-10 12:13:34
27,FirstName27,LastName27,,2023-11-26,USA,2025-07-10 12:13:34
28,FirstName28,LastName28,customer28_NEW@example.com,2025-06-06,USA,2025-07-10 12:13:34
29,FirstName29,LastName29,customer29_NEW@example.com,2025-01-06,USA,2025-07-10 12:13:34
30,FirstName30,LastName30,customer30_NEW@example.com,2024-12-05,Germany,2025-07-10 12:13:34
31,FirstName31,LastName31,customer31_NEW@example.com,2024-04-08,Poland,2025-07-10 12:13:34
32,FirstName32,LastName32,customer32_NEW@example.com,2024-07-20,USA,2025-07-10 12:13:34
33,FirstName33,LastName33,customer33_NEW@example.com,2024-08-18,Poland,2025-07-10 12:13:34
34,FirstName34,LastName34,customer34_NEW@example.com,2024-04-10,Germany,2025-07-10 12:13:34
35,FirstName35,LastName35,customer35_NEW@example.com,2024-04-23,USA,2025-07-10 12:13:34
36,FirstName36,LastName36,customer36_NEW@example.com,2023-07-20,Poland,2025-07-10 12:13:34
37,FirstName37,LastName37,customer37_NEW@example.com,2024-03-01,Germany,2025-07-10 12:13:34
38,FirstName38,LastName38,customer38_NEW@example.com,2024-01-18,USA,2025-07-10 12:13:34
39,FirstName39,LastName39,,2024-03-24,Germany,2025-07-10 12:13:34
40,FirstName40,LastName40,customer40_NEW@example.com,2024-03-29,USA,2025-07-10 12:13:34
41,FirstName41,LastName41,customer41_NEW@example.com,2025-03-26,Poland,2025-07-10 12:13:34
42,FirstName42,LastName42,customer42_NEW@example.com,2024-03-22,Germany,2025-07-10 12:13:34
