customer_id,first_name,last_name,email,registration_date,country,last_updated
1,FirstName1,LastName1,customer1@example.com,2024-06-04,Poland,2025-07-07 23:20:13
2,FirstName2,LastName2,customer2@example.com,2025-03-29,Poland,2025-07-07 23:20:13
3,FirstName3,LastName3,customer3@example.com,2023-11-01,Germany,2025-07-07 23:20:13
4,FirstName4,LastName4,customer4@example.com,2024-12-03,USA,2025-07-07 23:20:13
5,FirstName5,LastName5,,2024-10-17,USA,2025-07-07 23:20:13
6,FirstName6,LastName6,customer6@example.com,2023-10-08,USA,2025-07-07 23:20:13
7,FirstName7,LastName7,customer7@example.com,2024-05-09,USA,2025-07-07 23:20:13
8,FirstName8,LastName8,,2025-05-24,USA,2025-07-07 23:20:13
9,FirstName9,LastName9,customer9@example.com,2024-02-25,Poland,2025-07-07 23:20:13
10,FirstName10,LastName10,customer10@example.com,2024-01-10,Poland,2025-07-07 23:20:13
11,FirstName11,LastName11,,2024-12-13,Poland,2025-07-07 23:20:13
12,FirstName12,LastName12,customer12@example.com,2025-01-31,USA,2025-07-07 23:20:13
13,FirstName13,LastName13,customer13@example.com,2025-05-20,Poland,2025-07-07 23:20:13
14,FirstName14,LastName14,customer14@example.com,2025-02-22,USA,2025-07-07 23:20:13
15,FirstName15,LastName15,customer15@example.com,2025-05-07,USA,2025-07-07 23:20:13
16,FirstName16,LastName16,customer16@example.com,2025-05-24,Poland,2025-07-07 23:20:13
17,FirstName17,LastName17,customer17@example.com,2023-12-23,Poland,2025-07-07 23:20:13
18,FirstName18,LastName18,customer18@example.com,2025-01-27,Germany,2025-07-07 23:20:13
19,FirstName19,LastName19,customer19@example.com,2023-07-22,Poland,2025-07-07 23:20:13
20,FirstName20,LastName20,customer20@example.com,2024-03-02,USA,2025-07-07 23:20:13
21,FirstName21,LastName21,,2024-12-13,Poland,2025-07-07 23:20:13
22,FirstName22,LastName22,customer22@example.com,2023-11-05,Germany,2025-07-07 23:20:13
23,FirstName23,LastName23,customer23@example.com,2025-04-15,Poland,2025-07-07 23:20:13
24,FirstName24,LastName24,customer24@example.com,2024-01-02,USA,2025-07-07 23:20:13
25,FirstName25,LastName25,customer25@example.com,2024-01-24,Germany,2025-07-07 23:20:13
26,FirstName26,LastName26,customer26@example.com,2024-11-28,USA,2025-07-07 23:20:13
27,FirstName27,LastName27,customer27@example.com,2024-12-07,USA,2025-07-07 23:20:13
28,FirstName28,LastName28,customer28@example.com,2025-01-30,Poland,2025-07-07 23:20:13
29,FirstName29,LastName29,customer29@example.com,2025-04-16,Poland,2025-07-07 23:20:13
30,FirstName30,LastName30,customer30@example.com,2025-05-17,Germany,2025-07-07 23:20:13
31,FirstName31,LastName31,customer31@example.com,2024-03-19,Germany,2025-07-07 23:20:13
32,FirstName32,LastName32,customer32@example.com,2023-08-27,USA,2025-07-07 23:20:13
33,FirstName33,LastName33,,2024-05-25,USA,2025-07-07 23:20:13
34,FirstName34,LastName34,customer34@example.com,2024-10-16,Germany,2025-07-07 23:20:13
35,FirstName35,LastName35,customer35@example.com,2025-02-25,Germany,2025-07-07 23:20:13
36,FirstName36,LastName36,customer36@example.com,2024-12-03,Poland,2025-07-07 23:20:13
37,FirstName37,LastName37,customer37@example.com,2023-07-31,Poland,2025-07-07 23:20:13
38,FirstName38,LastName38,customer38@example.com,2025-02-22,Poland,2025-07-07 23:20:13
39,FirstName39,LastName39,,2024-01-23,Germany,2025-07-07 23:20:13
40,FirstName40,LastName40,customer40@example.com,2024-11-14,USA,2025-07-07 23:20:13
41,FirstName41,LastName41,customer41@example.com,2024-02-07,USA,2025-07-07 23:20:13
42,FirstName42,LastName42,customer42@example.com,2024-09-15,USA,2025-07-07 23:20:13
43,FirstName43,LastName43,customer43@example.com,2025-04-13,Germany,2025-07-07 23:20:13
44,FirstName44,LastName44,customer44@example.com,2023-12-21,USA,2025-07-07 23:20:13
45,FirstName45,LastName45,customer45@example.com,2023-09-11,USA,2025-07-07 23:20:13
46,FirstName46,LastName46,customer46@example.com,2025-01-03,USA,2025-07-07 23:20:13
47,FirstName47,LastName47,customer47@example.com,2023-10-10,Poland,2025-07-07 23:20:13
48,FirstName48,LastName48,customer48@example.com,2023-10-10,USA,2025-07-07 23:20:13
49,FirstName49,LastName49,customer49@example.com,2025-03-15,Germany,2025-07-07 23:20:13
50,FirstName50,LastName50,customer50@example.com,2024-12-11,Poland,2025-07-07 23:20:13
51,FirstName51,LastName51,customer51@example.com,2023-07-28,Germany,2025-07-07 23:20:13
52,FirstName52,LastName52,customer52@example.com,2025-04-26,Germany,2025-07-07 23:20:13
53,FirstName53,LastName53,customer53@example.com,2023-08-06,Germany,2025-07-07 23:20:13
54,FirstName54,LastName54,customer54@example.com,2024-01-19,Poland,2025-07-07 23:20:13
55,FirstName55,LastName55,customer55@example.com,2023-11-23,USA,2025-07-07 23:20:13
56,FirstName56,LastName56,customer56@example.com,2025-02-15,Germany,2025-07-07 23:20:13
57,FirstName57,LastName57,customer57@example.com,2023-11-06,Germany,2025-07-07 23:20:13
58,FirstName58,LastName58,customer58@example.com,2023-11-08,USA,2025-07-07 23:20:13
59,FirstName59,LastName59,customer59@example.com,2024-09-21,Poland,2025-07-07 23:20:13
60,FirstName60,LastName60,customer60@example.com,2025-06-20,Germany,2025-07-07 23:20:13
61,FirstName61,LastName61,customer61@example.com,2023-09-25,Poland,2025-07-07 23:20:13
62,FirstName62,LastName62,customer62@example.com,2024-10-19,USA,2025-07-07 23:20:13
